Event Receive Time;Event Type;Event Name;Activity Name;Host Name;Host IP;Process Name;Process Path;Business Service Name;User;Incident First Occurrence Time;Incident Last Occurrence Time;Count
31/10/2025 9:35;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;PNSAL5CD4381KX5;192.168.100.11;powershell.exe;;C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe;ssilva;31/10/2025 9:09;31/10/2025 9:35;6
31/10/2025 9:30;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;PNSAL5CD4381KX5;192.168.100.11;powershell.exe;;C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe;ssilva;31/10/2025 8:59;31/10/2025 9:30;9
31/10/2025 1:57;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;QPAPP;192.168.100.5;perl.exe;;F:\Oracle\product\11.2.0\dbhome_1\perl\bin\perl.exe;;28/10/2025 23:58;31/10/2025 1:57;2
30/10/2025 21:39;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;QECGYERSANCHEZ;172.16.100.156;f_00012f;;C:\Users\User\AppData\Local\Google\Chrome\User Data\Default\Cache\Cache_Data\f_00012f;dcordero;30/10/2025 21:39;30/10/2025 21:39;1
30/10/2025 17:10;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;PC-TD214ALM;172.16.214.36;uninstaller.exe;;C:\Users\User\AppData\Local\Mozilla Firefox\uninstall\uninstaller.exe;User;30/10/2025 17:10;30/10/2025 17:10;1
30/10/2025 14:33;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;QTEGYELOG1123;172.16.12.55;windows-update-for-internet-explorer-5.5-installer_2R6q-l1.exe;;C:\Users\inhouset_t\Downloads\windows-update-for-internet-explorer-5.5-installer_2R6q-l1.exe;inhouset_t;02/10/2025 13:05;30/10/2025 14:33;8
30/10/2025 14:10;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;LT-ECOM33;172.16.4.230;powershell.exe;;C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe;dechevarria;30/10/2025 14:10;30/10/2025 14:10;1
30/10/2025 13:33;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-PUP-Block;QECQYEFINANCIERO;172.16.100.75;Zip32.sfx;;C:\Program Files\WinRAR\Zip32.sfx;mdecker;16/10/2025 13:19;30/10/2025 13:33;5
30/10/2025 12:56;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;SRV-APP06;10.4.1.213;AnyDesk.exe;;C:\Users\sistemas\Downloads\AnyDesk.exe;sistemas;22/10/2025 15:34;30/10/2025 12:56;14
30/10/2025 9:59;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-PUP-Block;LT-MKT10;172.16.4.121;update.exe;;C:\Program Files\TeamViewer\Update\update.exe;User;30/10/2025 9:59;30/10/2025 9:59;1
30/10/2025 9:39;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;PC-TD246ADM;172.16.51.29;mgwgyeml32.exe;;C:\Users\User\AppData\Roaming\deyqrtgv\mgwgyeml32.exe;User;01/10/2025 14:27;30/10/2025 9:39;154
30/10/2025 8:53;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;PC-TD36MOST01;172.16.28.24;relpqe64.exe;;C:\Users\user\AppData\Roaming\snblcrhem\relpqe64.exe;user;01/10/2025 0:05;30/10/2025 8:53;18
30/10/2025 7:15;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-PUP-Block;PQ03SOTUYA;192.168.1.188;69c09e0b02c640a499dd11b08a974798-fa726e21b8f84350b6d5e410ef88eac6-458fa182266648b4a53440e634630999-c50719857282a36209cfcd7cd760dc5e462f57ae.temp;;C:\OneDriveTemp\S-1-5-21-3980907825-1687944145-1845389762-31776\69c09e0b02c640a499dd11b08a974798-fa726e21b8f84350b6d5e410ef88eac6-458fa182266648b4a53440e634630999-c50719857282a36209cfcd7cd760dc5e462f57ae.temp;almacen_salinasotuma;21/10/2025 13:03;30/10/2025 7:15;35
30/10/2025 7:11;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;QPNAS2;192.168.100.17;Solidworks2008SP1.0.exe;;F:\usuariosHis\Jmgonzalez\INFO TECNICA - Marzo 4 de 2010\INFO TECNICA\CATALOGOS\MANUALES\CARPETA SOLIDWORKS\Solidworks2008SP1.0.exe;administrator;30/10/2025 7:11;30/10/2025 7:11;1
30/10/2025 7:08;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;HG-LAPTOP98;192.168.0.178;cscript.exe;;C:\Windows\System32\cscript.exe;evandro.limeira;04/10/2025 13:17;30/10/2025 7:08;24
30/10/2025 6:56;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;QPNAS2;192.168.100.17;Solidworks2008SP1.0.exe;;F:\usuariosHis\Jmgonzalez\dibujosacad\raul\MTTO-MEC\Catalogos Digitales\MANUALES\CARPETA SOLIDWORKS\Solidworks2008SP1.0.exe;administrator;30/10/2025 6:56;30/10/2025 6:56;1
29/10/2025 19:44;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;SRV-APP06;10.4.1.213;AnyDesk.exe;;C:\Users\sistemas\Downloads\AnyDesk.exe;sistemas;22/10/2025 19:44;29/10/2025 19:44;2
29/10/2025 17:01;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;LT-CONT91;172.16.4.174;OInstall.exe;;C:\Windows\OInstall.exe;cdiaza;29/10/2025 17:01;29/10/2025 17:01;1
29/10/2025 17:01;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;LT-CDVES01;172.16.5.28;OInstall.exe;;C:\Windows\OInstall.exe;cdiaza;29/10/2025 17:01;29/10/2025 17:01;1
29/10/2025 16:26;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-PUP-Block;PC-TD008ADM;172.21.8.29;AnyDesk (1).exe;;C:\Users\programacion.ingreso\Downloads\AnyDesk (1).exe;user;29/10/2025 16:26;29/10/2025 16:26;1
29/10/2025 16:26;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-PUP-Block;PC-TD008ADM;172.21.8.29;AnyDesk (1).exe;;C:\Users\programacion.ingreso\Downloads\AnyDesk (1).exe;user;29/10/2025 16:26;29/10/2025 16:26;1
29/10/2025 16:26;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-PUP-Block;PC-TD008ADM;172.21.8.29;AnyDesk (1).exe;;C:\Users\sosorio\Downloads\AnyDesk (1).exe;user;29/10/2025 16:26;29/10/2025 16:26;1
29/10/2025 14:12;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-PUP-Block;ALM01D;10.30.14.249;update.exe;;C:\Program Files (x86)\TeamViewer\Update\update.exe;fernando.candido;29/10/2025 14:11;29/10/2025 14:12;2
29/10/2025 14:00;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;EQU001-017;192.168.120.117;PDF_Architect_9_Installer.exe;;C:\$Recycle.Bin\S-1-5-21-709713887-3565604342-920026463-500\$RD459KL\Installation\PDF_Architect_9_Installer.exe;pparedes;08/10/2025 13:56;29/10/2025 14:00;3
29/10/2025 13:52;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;HG-DESKTOP173;192.168.1.54;PhoneExperienceHost.exe;;C:\Program Files\WindowsApps\Microsoft.YourPhone_1.25052.76.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe;CarregamentoSC;29/10/2025 13:52;29/10/2025 13:52;1
29/10/2025 11:50;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-PUP-Block;PC-TD044SUB;172.16.44.30;w11mdp.dll;;C:\Users\TAILOY\AppData\Local\Kingsoft\WPS Office\12.2.0.23131\office6\w11mdp.dll;;18/10/2025 13:24;29/10/2025 11:50;6
29/10/2025 11:35;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;RPASERVER;172.16.0.62;UiPath.Studio.exe;;C:\Program Files\UiPath\Studio\UiPath.Studio.exe;robotai;29/10/2025 11:35;29/10/2025 11:35;1
29/10/2025 11:25;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-SimulationBlock;EQU001-060;10.0.1.68;uninstallx.exe;;C:\Program Files (x86)\McAfee Security Scan\uninstallx.exe;Administrador;29/10/2025 11:25;29/10/2025 11:25;1
29/10/2025 10:29;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-SimulationBlock;PTPRD31;192.168.100.216;dllhost.exe;;C:\Windows\System32\dllhost.exe;practicantedeposito;29/10/2025 10:29;29/10/2025 10:29;1
29/10/2025 10:24;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;PQ01LBMEMBRANA2;10.4.10.160;powershell.exe;;C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe;plino;29/10/2025 10:24;29/10/2025 10:24;1
29/10/2025 10:24;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;PQ01LBMEMBRANA2;10.4.10.160;powershell.exe;;C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe;plino;29/10/2025 10:24;29/10/2025 10:24;1
29/10/2025 9:09;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;PC-TD36CJR03;172.16.36.70;mgwgyeml32.exe;;C:\Users\User\AppData\Roaming\deyqrtgv\mgwgyeml32.exe;User;01/10/2025 14:22;29/10/2025 9:09;65
29/10/2025 2:13;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;QPAPP;192.168.100.5;perl.exe;;F:\Oracle\product\11.2.0\dbhome_1\perl\bin\perl.exe;;29/10/2025 2:13;29/10/2025 2:13;1
28/10/2025 16:41;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;HG-LAPTOP98;192.168.15.85;cscript.exe;;C:\Windows\System32\cscript.exe;evandro.limeira;09/10/2025 7:18;28/10/2025 16:41;17
28/10/2025 15:11;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-PUP-Block;PC-TD008CHE;172.21.8.37;AnyDesk (1).exe;;C:\Users\sosorio\Downloads\AnyDesk (1).exe;user;28/10/2025 15:11;28/10/2025 15:11;1
28/10/2025 15:11;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;LT-VMAY11;192.168.1.66;printfilterpipelinesvc.exe;;C:\Windows\System32\printfilterpipelinesvc.exe;cganoza;28/10/2025 15:11;28/10/2025 15:11;1
28/10/2025 15:11;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-PUP-Block;PC-CDVES08;172.16.102.33;AnyDesk (1).exe;;C:\Users\programacion.ingreso\Downloads\AnyDesk (1).exe;user;28/10/2025 15:11;28/10/2025 15:11;1
28/10/2025 15:06;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-PUP-Block;PC-TD026VEM01;172.16.26.70;AnyDesk (1).exe;;C:\Users\programacion.ingreso\Downloads\AnyDesk (1).exe;user;28/10/2025 15:06;28/10/2025 15:06;1
28/10/2025 15:06;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-PUP-Block;PC-TD026VEM01;172.16.26.70;AnyDesk (1).exe;;C:\Users\sosorio\Downloads\AnyDesk (1).exe;user;28/10/2025 15:06;28/10/2025 15:06;1
28/10/2025 12:56;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-PUP-Block;HG-Desktop50;10.8.1.58;BreeZip.exe;;C:\Program Files\WindowsApps\3138AweZip.AweZip_1.4.44.0_x64__ffd303wmbhcjt\AweZip\BreeZip.exe;wgsilva;13/10/2025 9:39;28/10/2025 12:56;4
28/10/2025 12:41;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-PUP-Block;LT-MKT10;172.16.4.121;update.exe;;C:\Program Files\TeamViewer\Update\update.exe;User;28/10/2025 12:41;28/10/2025 12:41;1
28/10/2025 9:57;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;PTGHM03;192.168.100.217;powershell.exe;;C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe;josorio;28/10/2025 9:57;28/10/2025 9:57;1
28/10/2025 9:32;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;PROD52L;10.20.17.79;Action_x64.bin;;C:\Users\jose.chavez\AppData\Roaming\Mirillis\Action!\Action_x64.bin;jose.chavez;28/10/2025 9:32;28/10/2025 9:32;1
28/10/2025 9:32;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;PROD52L;10.20.17.79;Action_x86.bin;;C:\Users\jose.chavez\AppData\Roaming\Mirillis\Action!\Action_x86.bin;jose.chavez;28/10/2025 9:32;28/10/2025 9:32;1
28/10/2025 9:32;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;PROD52L;10.20.17.79;Action_x64.bin;;C:\Users\jose.chavez\AppData\Roaming\Mirillis\Action!\Action_x64.bin;jose.chavez;28/10/2025 9:32;28/10/2025 9:32;1
28/10/2025 9:32;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;PROD52L;10.20.17.79;Action.exe;;C:\Users\jose.chavez\AppData\Roaming\Mirillis\Action!\Action.exe;jose.chavez;28/10/2025 9:32;28/10/2025 9:32;1
28/10/2025 9:32;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;PROD52L;10.20.17.79;ActionHelper_x64.exe;;C:\ProgramData\Mirillis\Action!\jose.chavez\ActionHelper_x64.exe;jose.chavez;28/10/2025 9:32;28/10/2025 9:32;1
28/10/2025 9:32;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;PROD52L;10.20.17.79;Action_x86.bin;;C:\Users\jose.chavez\AppData\Roaming\Mirillis\Action!\Action_x86.bin;jose.chavez;28/10/2025 9:32;28/10/2025 9:32;1
28/10/2025 6:13;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-PUP-Block;TNT02D;10.30.11.18;update.exe;;C:\Program Files (x86)\TeamViewer\Update\update.exe;celso.oliveira;28/10/2025 6:13;28/10/2025 6:13;1
28/10/2025 5:40;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;HG-DESKTOP192;10.8.80.202;Dell.CoreServices.Client.exe;;C:\Program Files\Dell\TechHub\Dell.CoreServices.Client.exe;victor.marques;27/10/2025 11:39;28/10/2025 5:40;2
28/10/2025 5:40;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;HG-LAPTOP176;10.8.80.148;Dell.CoreServices.Client.exe;;C:\Program Files\Dell\TechHub\Dell.CoreServices.Client.exe;ilassis;28/10/2025 5:40;28/10/2025 5:40;1
27/10/2025 22:48;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;LT-AUDIT08;192.168.239.220;FortniteClient-Win64-Shipping.exe;;\Device\HarddiskVolume3\Program Files\Epic Games\Fortnite\FortniteGame\Binaries\Win64\FortniteClient-Win64-Shipping.exe;agrados;27/10/2025 22:48;27/10/2025 22:48;1
27/10/2025 22:48;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;LT-AUDIT08;192.168.239.220;FortniteClient-Win64-Shipping.exe;;\Device\HarddiskVolume3\Program Files\Epic Games\Fortnite\FortniteGame\Binaries\Win64\FortniteClient-Win64-Shipping.exe;agrados;27/10/2025 22:48;27/10/2025 22:48;1
27/10/2025 22:48;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;LT-AUDIT08;192.168.239.220;FortniteClient-Win64-Shipping.exe;;\Device\HarddiskVolume3\Program Files\Epic Games\Fortnite\FortniteGame\Binaries\Win64\FortniteClient-Win64-Shipping.exe;agrados;27/10/2025 22:48;27/10/2025 22:48;1
27/10/2025 22:48;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;LT-AUDIT08;192.168.239.220;FortniteClient-Win64-Shipping.exe;;\Device\HarddiskVolume3\Program Files\Epic Games\Fortnite\FortniteGame\Binaries\Win64\FortniteClient-Win64-Shipping.exe;agrados;27/10/2025 22:48;27/10/2025 22:48;1
27/10/2025 22:48;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;LT-AUDIT08;192.168.239.220;FortniteClient-Win64-Shipping.exe;;\Device\HarddiskVolume3\Program Files\Epic Games\Fortnite\FortniteGame\Binaries\Win64\FortniteClient-Win64-Shipping.exe;agrados;27/10/2025 22:48;27/10/2025 22:48;1
27/10/2025 15:02;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;KP-41543251;192.168.100.39;OInstall.exe;;D:\OInstall\OInstall.exe;USER;27/10/2025 15:02;27/10/2025 15:02;1
27/10/2025 15:02;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;KP-41543251;192.168.100.39;KMSAuto++.exe;;D:\Utilitarios 2022\Activadores\kmsauto.1.6.0\kmsauto.1.6.0\KMSAuto++.exe;USER;27/10/2025 15:02;27/10/2025 15:02;1
27/10/2025 14:45;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;PTTRQ34;192.168.0.102;WerFaultSecure.exe;;C:\Windows\System32\WerFaultSecure.exe;Icprado;23/10/2025 15:06;27/10/2025 14:45;3
27/10/2025 13:42;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-PUP-Block;LT-ECOM38;172.16.5.116;w11mdp.dll;;C:\Users\lpacheco\AppData\Local\Kingsoft\WPS Office\12.2.0.23131\office6\w11mdp.dll;;27/10/2025 13:42;27/10/2025 13:42;1
27/10/2025 13:39;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;PNSAL5CD4381KX5;192.168.18.43;powershell.exe;;C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe;ssilva;27/10/2025 13:37;27/10/2025 13:39;2
27/10/2025 11:06;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;PC-TD021ADM;172.16.21.29;Sin confirmar 428669.crdownload;;C:\Users\User\Downloads\Sin confirmar 428669.crdownload;User;13/10/2025 12:23;27/10/2025 11:06;5
27/10/2025 10:39;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;HG-LAPTOP98;10.8.80.199;cscript.exe;;C:\Windows\System32\cscript.exe;evandro.limeira;27/10/2025 7:39;27/10/2025 10:39;8
27/10/2025 10:31;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Suspicious-Block;PQ01R3DGARCIA;10.4.10.101;cscript.exe;;C:\Windows\System32\cscript.exe;dgarcia;27/10/2025 10:31;27/10/2025 10:31;1
27/10/2025 9:56;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;PQ02DLINARES;192.168.1.35;RobloxPlayerBeta.exe;;\Device\HarddiskVolume3\Users\SHUACHO\AppData\Local\Roblox\Versions\version-7a4a5d7d1fb3449f\RobloxPlayerBeta.exe;shuacho;19/10/2025 21:10;27/10/2025 9:56;35
27/10/2025 9:56;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;PQ02DLINARES;192.168.1.35;RobloxPlayerBeta.exe;;\Device\HarddiskVolume3\Users\SHUACHO\AppData\Local\Roblox\Versions\version-7a4a5d7d1fb3449f\RobloxPlayerBeta.exe;shuacho;19/10/2025 21:10;27/10/2025 9:56;26
27/10/2025 9:56;RPT_Aplicacion_sospechosa_de_malware;RPT-Aplicacion sospechosa de malware;FortiEDR-Security-Malicious-Block;PQ02DLINARES;192.168.1.35;RobloxPlayerBeta.exe;;\Device\HarddiskVolume3\Users\SHUACHO\AppData\Local\Roblox\Versions\version-7a4a5d7d1fb3449f\RobloxPlayerBeta.exe;shuacho;23/10/2025 18:06;27/10/2025 9:56;381
